"Selected Product Wise Sales Report",,,,
"Report From  :01 February,2015  To  28 February,2015 ",,,,
,,,"Data",
"Outlet Name","Article","Article Name","Sum of QTY","Sum of NSI"
,3306637,"S200921 Nappy(Double)-40",1,51
,3308215,"S200921 Baby Set Size 12",1,271
,3311113,"S200921 Kids Felanin Dress-0",1,252
,3327488,"S200921 Cotton Baby Set",2,461
,3327489,"S200921 Cotton Baby Set",2,530
"Mirpur Six Total",,,19,2521
"Mohanagar",3306633,"S200921 New Born Baby Katha",3,657
,3306634,"S200921 Nima-55",12,737
,3306635,"S200921 Nima Frock-90",5,455
,3306636,"S200921 Nappy-25",4,123
,3306637,"S200921 Nappy(Double)-40",1,51
,3327488,"S200921 Cotton Baby Set",3,691
,3327489,"S200921 Cotton Baby Set",1,265
,3341188,"S200921 New Baby Nima",6,369
,3341189,"S200921 New Nima Frock",3,276
,3341194,"S200921 New Baby Set Special-10",1,253
"Mohanagar Total",,,39,3877
"Monipuri Para Outlet",3306632,"S200921 New Born Baby Katha",2,303
,3306634,"S200921 Nima-55",3,184
,3341188,"S200921 New Baby Nima",2,123
,3341191,"S200921 New Baby Nappy(D)",1,54
,3341193,"S200921 New Baby Set Special-0",1,223
,3341194,"S200921 New Baby Set Special-10",3,760
"Monipuri Para Outlet Total",,,12,1647
"Nazim Uddin Road",3306634,"S200921 Nima-55",1,61
,3311112,"S200921 Baby Nima Full",1,101
,3327488,"S200921 Cotton Baby Set",1,230
"Nazim Uddin Road Total",,,3,392
"Nikunja-2",3311112,"S200921 Baby Nima Full",1,101
"Nikunja-2 Total",,,1,101
"North Bonosri",3306632,"S200921 New Born Baby Katha",1,152
,3306633,"S200921 New Born Baby Katha",1,219
,3306634,"S200921 Nima-55",1,61
,3311112,"S200921 Baby Nima Full",3,303
,3341186,"S200921 New Baby Katha-S",3,438
,3341190,"S200921 New Baby Nappy",3,92
,3341191,"S200921 New Baby Nappy(D)",5,269
,3341192,"S200921 New Katha Set",3,1197
"North Bonosri Total",,,20,2731
"Postogola ",3308216,"S200921 Baby Set Size 14",2,606
,3311114,"S200921 Kids Felanin Dress-10",2,674
,3341188,"S200921 New Baby Nima",1,61
,3341189,"S200921 New Nima Frock",1,92
,3341190,"S200921 New Baby Nappy",1,31
,3341191,"S200921 New Baby Nappy(D)",5,269
,3341193,"S200921 New Baby Set Special-0",3,669
,3341194,"S200921 New Baby Set Special-10",1,253
"Postogola  Total",,,16,2655
"Rampura",3306634,"S200921 Nima-55",3,183
,3311113,"S200921 Kids Felanin Dress-0",1,252
,3327488,"S200921 Cotton Baby Set",2,460
,3327489,"S200921 Cotton Baby Set",3,795
,3341188,"S200921 New Baby Nima",3,184
"Rampura Total",,,12,1874
"Sontek Kajla",3311112,"S200921 Baby Nima Full",1,101
,3327488,"S200921 Cotton Baby Set",2,460
,3341188,"S200921 New Baby Nima",4,246
,3341189,"S200921 New Nima Frock",2,184
"Sontek Kajla Total",,,9,991
"Sutrapur",3306634,"S200921 Nima-55",3,184
"Sutrapur Total",,,3,184
"SYL Pathantola",3306632,"S200921 New Born Baby Katha",7,1062
,3306633,"S200921 New Born Baby Katha",1,219
,3306634,"S200921 Nima-55",4,244
,3306635,"S200921 Nima Frock-90",10,910
,3306637,"S200921 Nappy(Double)-40",2,102
,3306638,"S200921 Katha Set-350",5,2100
,3308215,"S200921 Baby Set Size 12",1,271
,3308216,"S200921 Baby Set Size 14",1,303
,3311112,"S200921 Baby Nima Full",2,202
,3311113,"S200921 Kids Felanin Dress-0",1,252
,3311114,"S200921 Kids Felanin Dress-10",3,1011
,3311115,"S200921 Kids Felanin Dress-12",1,420
,3327488,"S200921 Cotton Baby Set",7,1611
,3327489,"S200921 Cotton Baby Set",5,1325
"SYL Pathantola Total",,,50,10032
"SYL Shahjalal",3306632,"S200921 New Born Baby Katha",3,454
,3306633,"S200921 New Born Baby Katha",4,876
,3306634,"S200921 Nima-55",4,246
,3306635,"S200921 Nima Frock-90",1,91
,3306636,"S200921 Nappy-25",3,93
,3306637,"S200921 Nappy(Double)-40",10,510
,3311112,"S200921 Baby Nima Full",3,303
,3311113,"S200921 Kids Felanin Dress-0",2,504
,3311114,"S200921 Kids Felanin Dress-10",1,337
,3327488,"S200921 Cotton Baby Set",2,460
,3327489,"S200921 Cotton Baby Set",2,530
,3327491,"S200921 Cotton Baby Set",1,392
"SYL Shahjalal Total",,,36,4796
"SYL Shibgong",3306633,"S200921 New Born Baby Katha",2,438
,3311115,"S200921 Kids Felanin Dress-12",1,420
"SYL Shibgong Total",,,3,858
"SYL Zinda Bazar",3306635,"S200921 Nima Frock-90",3,273
,3306636,"S200921 Nappy-25",6,185
,3306637,"S200921 Nappy(Double)-40",1,51
,3306639,"S200921 Baby Set-150",2,406
,3311112,"S200921 Baby Nima Full",4,404
,3311113,"S200921 Kids Felanin Dress-0",1,252
,3311114,"S200921 Kids Felanin Dress-10",2,674
,3311115,"S200921 Kids Felanin Dress-12",2,840
,3327488,"S200921 Cotton Baby Set",2,460
,3327489,"S200921 Cotton Baby Set",6,1590
"SYL Zinda Bazar Total",,,29,5135
"Uttara -3",3306632,"S200921 New Born Baby Katha",2,303
,3311112,"S200921 Baby Nima Full",1,101
"Uttara -3 Total",,,3,404
"Uttara-11",3306633,"S200921 New Born Baby Katha",1,219
,3306634,"S200921 Nima-55",5,306
,3306635,"S200921 Nima Frock-90",2,182
,3306636,"S200921 Nappy-25",4,123
,3306637,"S200921 Nappy(Double)-40",1,51
,3306638,"S200921 Katha Set-350",1,420
,3306639,"S200921 Baby Set-150",1,203
,3308214,"S200921 Baby Set Size 10",1,237
,3327488,"S200921 Cotton Baby Set",4,921
,3327489,"S200921 Cotton Baby Set",2,530
,3341186,"S200921 New Baby Katha-S",5,730
,3341188,"S200921 New Baby Nima",1,61
,3341189,"S200921 New Nima Frock",1,92
,3341190,"S200921 New Baby Nappy",2,61
,3341191,"S200921 New Baby Nappy(D)",2,108
,3341193,"S200921 New Baby Set Special-0",1,223
"Uttara-11 Total",,,34,4467
"Uttara-6",3306636,"S200921 Nappy-25",1,31
,3327488,"S200921 Cotton Baby Set",1,230
,3341188,"S200921 New Baby Nima",5,307
,3341193,"S200921 New Baby Set Special-0",2,446
"Uttara-6 Total",,,9,1014
"Wari",3306632,"S200921 New Born Baby Katha",1,152
,3306633,"S200921 New Born Baby Katha",1,219
,3306634,"S200921 Nima-55",7,430
,3306635,"S200921 Nima Frock-90",12,1094
,3306636,"S200921 Nappy-25",4,123
,3306637,"S200921 Nappy(Double)-40",11,560
,3306638,"S200921 Katha Set-350",1,420
,3311112,"S200921 Baby Nima Full",1,101
,3327488,"S200921 Cotton Baby Set",3,690
"Wari Total",,,41,3789
"West Kafrul",3306632,"S200921 New Born Baby Katha",5,759
,3306633,"S200921 New Born Baby Katha",3,657
,3306634,"S200921 Nima-55",2,122
,3306635,"S200921 Nima Frock-90",3,273
,3306636,"S200921 Nappy-25",2,61
,3306637,"S200921 Nappy(Double)-40",4,204
,3306639,"S200921 Baby Set-150",2,406
,3308214,"S200921 Baby Set Size 10",4,948
,3308215,"S200921 Baby Set Size 12",1,271
,3311112,"S200921 Baby Nima Full",1,101
,3327488,"S200921 Cotton Baby Set",5,1151
,3327489,"S200921 Cotton Baby Set",2,530
,3341188,"S200921 New Baby Nima",1,61
,3341189,"S200921 New Nima Frock",1,92
,3341190,"S200921 New Baby Nappy",3,92
,3341193,"S200921 New Baby Set Special-0",1,223
,3341194,"S200921 New Baby Set Special-10",2,507
"West Kafrul Total",,,42,6458
"Grand Total",,,742,102515
